,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Počet
platných
hlasov
spolu",Platné hlasy (počet / podiel),,,,,,,,,,,,,,,,,,,,,,,,,
,,,Zelení,KDH,SDĽ,SNS,OĽaNO,SaS,PaS,NÁŠ KRAJ,SZ,ĽSNS,SMER - SD,"Zmena zdola, DÚ",NaS - ns,KSS,SRÚS,MOST - HÍD,99%,ĽS - HZDS,+1 HLAS,SF,Obyčajní ľudia,SDKÚ - DS,SOSKA,SMK - MKP,SSS - NM,SŽS
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Čataj,,608,1,35,2,30,61,48,0,0,2,2,352,7,2,9,0,15,6,1,0,0,1,32,1,0,1,0
,,,"0,16","5,75","0,32","4,93","10,03","7,89","0,00","0,00","0,32","0,32","57,89","1,15","0,32","1,48","0,00","2,46","0,98","0,16","0,00","0,00","0,16","5,26","0,16","0,00","0,16","0,00"
Dunajská Lužná,,2 455,11,308,3,91,260,334,16,1,31,20,645,26,13,6,0,291,31,7,1,13,6,313,0,12,15,1
,,,"0,44","12,54","0,12","3,70","10,59","13,60","0,65","0,04","1,26","0,81","26,27","1,05","0,52","0,24","0,00","11,85","1,26","0,28","0,04","0,52","0,24","12,74","0,00","0,48","0,61","0,04"
Hamuliakovo,,812,2,45,0,18,35,77,0,1,4,3,162,9,1,2,0,245,15,2,0,1,1,91,2,91,5,0
,,,"0,24","5,54","0,00","2,21","4,31","9,48","0,00","0,12","0,49","0,36","19,95","1,10","0,12","0,24","0,00","30,17","1,84","0,24","0,00","0,12","0,12","11,20","0,24","11,20","0,61","0,00"
Hrubá Borša,,243,0,11,0,6,20,25,0,1,1,1,66,6,1,5,0,42,4,0,0,1,1,16,0,34,2,0
,,,"0,00","4,52","0,00","2,46","8,23","10,28","0,00","0,41","0,41","0,41","27,16","2,46","0,41","2,05","0,00","17,28","1,64","0,00","0,00","0,41","0,41","6,58","0,00","13,99","0,82","0,00"
Hrubý Šúr,,389,0,19,0,1,35,26,0,0,0,1,25,5,0,2,0,176,4,0,0,0,1,15,1,78,0,0
,,,"0,00","4,88","0,00","0,25","8,99","6,68","0,00","0,00","0,00","0,25","6,42","1,28","0,00","0,51","0,00","45,24","1,02","0,00","0,00","0,00","0,25","3,85","0,25","20,05","0,00","0,00"
Hurbanova Ves,,175,0,2,0,2,10,17,0,0,0,0,95,2,2,2,0,14,6,0,0,0,1,16,0,4,2,0
,,,"0,00","1,14","0,00","1,14","5,71","9,71","0,00","0,00","0,00","0,00","54,28","1,14","1,14","1,14","0,00","8,00","3,42","0,00","0,00","0,00","0,57","9,14","0,00","2,28","1,14","0,00"
Chorvátsky Grob,,2 040,4,211,0,49,248,404,4,0,15,6,562,32,10,7,0,83,35,3,3,13,4,334,1,0,12,0
,,,"0,19","10,34","0,00","2,40","12,15","19,80","0,19","0,00","0,73","0,29","27,54","1,56","0,49","0,34","0,00","4,06","1,71","0,14","0,14","0,63","0,19","16,37","0,04","0,00","0,58","0,00"
Igram,,299,0,78,1,16,41,13,2,0,0,0,106,0,0,3,0,7,3,1,0,2,2,16,3,0,5,0
,,,"0,00","26,08","0,33","5,35","13,71","4,34","0,66","0,00","0,00","0,00","35,45","0,00","0,00","1,00","0,00","2,34","1,00","0,33","0,00","0,66","0,66","5,35","1,00","0,00","1,67","0,00"
Ivanka pri Dunaji,,3 214,8,345,5,155,393,379,12,1,21,44,1 167,63,16,32,0,124,54,8,4,18,8,322,6,8,17,4
,,,"0,24","10,73","0,15","4,82","12,22","11,79","0,37","0,03","0,65","1,36","36,30","1,96","0,49","0,99","0,00","3,85","1,68","0,24","0,12","0,56","0,24","10,01","0,18","0,24","0,52","0,12"
Kalinkovo,,619,2,27,0,13,52,57,2,0,8,5,163,7,2,2,0,179,10,2,0,4,1,63,0,16,4,0
,,,"0,32","4,36","0,00","2,10","8,40","9,20","0,32","0,00","1,29","0,80","26,33","1,13","0,32","0,32","0,00","28,91","1,61","0,32","0,00","0,64","0,16","10,17","0,00","2,58","0,64","0,00"
Kaplna,,392,0,54,1,18,58,16,2,0,2,7,191,3,6,5,0,6,3,1,0,3,0,14,0,0,2,0
,,,"0,00","13,77","0,25","4,59","14,79","4,08","0,51","0,00","0,51","1,78","48,72","0,76","1,53","1,27","0,00","1,53","0,76","0,25","0,00","0,76","0,00","3,57","0,00","0,00","0,51","0,00"
Kostolná pri Dunaji,,305,2,35,0,1,17,14,1,0,0,1,40,1,0,0,0,89,13,0,0,1,1,15,0,72,1,1
,,,"0,65","11,47","0,00","0,32","5,57","4,59","0,32","0,00","0,00","0,32","13,11","0,32","0,00","0,00","0,00","29,18","4,26","0,00","0,00","0,32","0,32","4,91","0,00","23,60","0,32","0,32"
Kráľová pri Senci,,845,2,60,3,47,125,63,5,0,6,6,312,17,18,5,0,45,16,11,1,5,5,78,0,5,10,0
,,,"0,23","7,10","0,35","5,56","14,79","7,45","0,59","0,00","0,71","0,71","36,92","2,01","2,13","0,59","0,00","5,32","1,89","1,30","0,11","0,59","0,59","9,23","0,00","0,59","1,18","0,00"
Malinovo,,1 159,6,54,0,16,112,150,8,0,8,8,146,11,1,4,0,353,18,2,0,4,4,121,1,121,11,0
,,,"0,51","4,65","0,00","1,38","9,66","12,94","0,69","0,00","0,69","0,69","12,59","0,94","0,08","0,34","0,00","30,45","1,55","0,17","0,00","0,34","0,34","10,44","0,08","10,44","0,94","0,00"
Miloslavov,,1 055,2,87,2,44,97,175,8,1,10,8,318,17,3,3,0,108,24,9,1,1,1,117,4,4,11,0
,,,"0,18","8,24","0,18","4,17","9,19","16,58","0,75","0,09","0,94","0,75","30,14","1,61","0,28","0,28","0,00","10,23","2,27","0,85","0,09","0,09","0,09","11,09","0,37","0,37","1,04","0,00"
Most pri Bratislave,,1 169,7,64,4,87,123,138,4,0,15,4,416,34,11,2,0,71,23,10,0,3,5,118,2,6,17,5
,,,"0,59","5,47","0,34","7,44","10,52","11,80","0,34","0,00","1,28","0,34","35,58","2,90","0,94","0,17","0,00","6,07","1,96","0,85","0,00","0,25","0,42","10,09","0,17","0,51","1,45","0,42"
Nová Dedinka,,1 009,5,56,1,17,97,125,2,0,3,6,182,7,3,5,0,301,12,3,0,5,3,97,2,71,6,0
,,,"0,49","5,55","0,09","1,68","9,61","12,38","0,19","0,00","0,29","0,59","18,03","0,69","0,29","0,49","0,00","29,83","1,18","0,29","0,00","0,49","0,29","9,61","0,19","7,03","0,59","0,00"
Nový Svet,,61,0,1,0,2,13,2,0,0,0,0,32,4,0,2,0,1,0,2,0,0,0,2,0,0,0,0
,,,"0,00","1,63","0,00","3,27","21,31","3,27","0,00","0,00","0,00","0,00","52,45","6,55","0,00","3,27","0,00","1,63","0,00","3,27","0,00","0,00","0,00","3,27","0,00","0,00","0,00","0,00"
Reca,,628,1,13,0,11,51,29,4,0,0,4,101,7,3,9,0,241,14,0,2,3,3,26,0,102,4,0
,,,"0,15","2,07","0,00","1,75","8,12","4,61","0,63","0,00","0,00","0,63","16,08","1,11","0,47","1,43","0,00","38,37","2,22","0,00","0,31","0,47","0,47","4,14","0,00","16,24","0,63","0,00"
Rovinka,,1 179,4,117,1,52,94,142,2,2,10,11,392,22,9,1,1,115,19,9,1,5,3,143,2,8,11,3
,,,"0,33","9,92","0,08","4,41","7,97","12,04","0,16","0,16","0,84","0,93","33,24","1,86","0,76","0,08","0,08","9,75","1,61","0,76","0,08","0,42","0,25","12,12","0,16","0,67","0,93","0,25"
Senec,,7 932,32,651,4,225,1 015,745,36,2,44,65,1 945,123,44,40,1,1 374,96,41,1,32,17,792,15,508,77,7
,,,"0,40","8,20","0,05","2,83","12,79","9,39","0,45","0,02","0,55","0,81","24,52","1,55","0,55","0,50","0,01","17,32","1,21","0,51","0,01","0,40","0,21","9,98","0,18","6,40","0,97","0,08"
Tomášov,,1 275,4,39,1,26,95,96,3,1,6,5,200,3,3,2,0,466,19,1,0,8,5,69,2,209,12,0
,,,"0,31","3,05","0,07","2,03","7,45","7,52","0,23","0,07","0,47","0,39","15,68","0,23","0,23","0,15","0,00","36,54","1,49","0,07","0,00","0,62","0,39","5,41","0,15","16,39","0,94","0,00"
Tureň,,569,0,12,0,3,37,26,1,0,0,0,36,1,1,0,0,300,21,2,0,0,0,21,0,103,4,1
,,,"0,00","2,10","0,00","0,52","6,50","4,56","0,17","0,00","0,00","0,00","6,32","0,17","0,17","0,00","0,00","52,72","3,69","0,35","0,00","0,00","0,00","3,69","0,00","18,10","0,70","0,17"
Veľký Biel,,1 064,3,67,0,14,110,94,4,0,5,3,160,21,7,6,0,374,17,4,0,2,1,86,2,75,9,0
,,,"0,28","6,29","0,00","1,31","10,33","8,83","0,37","0,00","0,46","0,28","15,03","1,97","0,65","0,56","0,00","35,15","1,59","0,37","0,00","0,18","0,09","8,08","0,18","7,04","0,84","0,00"
Vlky,,259,1,10,1,0,5,5,0,0,1,1,16,0,1,0,0,102,1,0,0,0,0,11,0,101,3,0
,,,"0,38","3,86","0,38","0,00","1,93","1,93","0,00","0,00","0,38","0,38","6,17","0,00","0,38","0,00","0,00","39,38","0,38","0,00","0,00","0,00","0,00","4,24","0,00","38,99","1,15","0,00"
Zálesie,,832,0,84,0,66,80,154,4,1,8,13,206,18,7,3,0,38,12,2,0,0,0,123,0,1,7,5
,,,"0,00","10,09","0,00","7,93","9,61","18,50","0,48","0,12","0,96","1,56","24,75","2,16","0,84","0,36","0,00","4,56","1,44","0,24","0,00","0,00","0,00","14,78","0,00","0,12","0,84","0,60"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Obvod Senec,,34 580,106,2 868,34,1 177,3 711,3 787,138,12,225,253,9 572,515,178,190,4,5 375,544,146,15,142,83,3 439,46,1 716,273,31
,,,"0,30","8,29","0,09","3,40","10,73","10,95","0,39","0,03","0,65","0,73","27,68","1,48","0,51","0,54","0,01","15,54","1,57","0,42","0,04","0,41","0,24","9,94","0,13","4,96","0,78","0,08"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Počet
platných
hlasov
spolu",Platné hlasy (počet / podiel),,,,,,,,,,,,,,,,,,,,,,,,,
,,,Zelení,KDH,SDĽ,SNS,OĽaNO,SaS,PaS,NÁŠ KRAJ,SZ,ĽSNS,SMER - SD,"Zmena zdola, DÚ",NaS - ns,KSS,SRÚS,MOST - HÍD,99%,ĽS - HZDS,+1 HLAS,SF,Obyčajní ľudia,SDKÚ - DS,SOSKA,SMK - MKP,SSS - NM,SŽS
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baka,,658,3,4,0,0,10,3,0,0,1,0,5,0,0,0,0,299,8,1,0,0,0,8,0,316,0,0
,,,"0,45","0,60","0,00","0,00","1,51","0,45","0,00","0,00","0,15","0,00","0,75","0,00","0,00","0,00","0,00","45,44","1,21","0,15","0,00","0,00","0,00","1,21","0,00","48,02","0,00","0,00"
Baloň,,436,2,2,0,0,0,0,0,0,0,0,8,1,0,1,1,198,0,0,0,0,0,4,0,219,0,0
,,,"0,45","0,45","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","1,83","0,22","0,00","0,22","0,22","45,41","0,00","0,00","0,00","0,00","0,00","0,91","0,00","50,22","0,00","0,00"
Báč,,364,0,49,0,3,18,9,0,0,0,1,14,1,0,0,0,129,2,0,0,0,0,3,0,133,2,0
,,,"0,00","13,46","0,00","0,82","4,94","2,47","0,00","0,00","0,00","0,27","3,84","0,27","0,00","0,00","0,00","35,43","0,54","0,00","0,00","0,00","0,00","0,82","0,00","36,53","0,54","0,00"
Bellova Ves,,143,0,5,0,4,9,3,0,0,0,1,40,0,0,0,1,50,9,2,0,2,0,10,2,4,1,0
,,,"0,00","3,49","0,00","2,79","6,29","2,09","0,00","0,00","0,00","0,69","27,97","0,00","0,00","0,00","0,69","34,96","6,29","1,39","0,00","1,39","0,00","6,99","1,39","2,79","0,69","0,00"
Blahová,,157,0,12,3,3,7,8,0,0,0,3,43,3,0,0,0,50,4,2,0,0,0,10,0,5,4,0
,,,"0,00","7,64","1,91","1,91","4,45","5,09","0,00","0,00","0,00","1,91","27,38","1,91","0,00","0,00","0,00","31,84","2,54","1,27","0,00","0,00","0,00","6,36","0,00","3,18","2,54","0,00"
Blatná na Ostrove,,442,0,4,0,11,10,9,0,0,2,1,22,6,1,1,0,200,7,2,0,0,0,11,1,154,0,0
,,,"0,00","0,90","0,00","2,48","2,26","2,03","0,00","0,00","0,45","0,22","4,97","1,35","0,22","0,22","0,00","45,24","1,58","0,45","0,00","0,00","0,00","2,48","0,22","34,84","0,00","0,00"
Bodíky,,196,0,0,0,3,5,12,0,0,0,0,14,2,0,1,0,72,0,0,0,0,0,7,0,78,2,0
,,,"0,00","0,00","0,00","1,53","2,55","6,12","0,00","0,00","0,00","0,00","7,14","1,02","0,00","0,51","0,00","36,73","0,00","0,00","0,00","0,00","0,00","3,57","0,00","39,79","1,02","0,00"
Boheľov,,195,1,2,0,0,1,1,0,0,0,0,6,0,0,0,0,86,0,1,0,0,0,0,0,97,0,0
,,,"0,51","1,02","0,00","0,00","0,51","0,51","0,00","0,00","0,00","0,00","3,07","0,00","0,00","0,00","0,00","44,10","0,00","0,51","0,00","0,00","0,00","0,00","0,00","49,74","0,00","0,00"
Čakany,,315,2,7,1,1,11,8,0,0,0,0,16,0,0,2,0,138,6,0,0,0,1,10,2,106,4,0
,,,"0,63","2,22","0,31","0,31","3,49","2,53","0,00","0,00","0,00","0,00","5,07","0,00","0,00","0,63","0,00","43,80","1,90","0,00","0,00","0,00","0,31","3,17","0,63","33,65","1,26","0,00"
Čenkovce,,624,1,4,0,1,5,8,1,0,0,0,36,0,1,1,0,364,2,0,0,0,0,8,0,189,3,0
,,,"0,16","0,64","0,00","0,16","0,80","1,28","0,16","0,00","0,00","0,00","5,76","0,00","0,16","0,16","0,00","58,33","0,32","0,00","0,00","0,00","0,00","1,28","0,00","30,28","0,48","0,00"
Čiližská Radvaň,,670,1,0,0,0,1,7,0,0,0,0,18,0,0,0,0,232,3,0,0,0,0,5,0,401,0,2
,,,"0,14","0,00","0,00","0,00","0,14","1,04","0,00","0,00","0,00","0,00","2,68","0,00","0,00","0,00","0,00","34,62","0,44","0,00","0,00","0,00","0,00","0,74","0,00","59,85","0,00","0,29"
Dobrohošť,,237,0,8,0,3,8,14,0,0,1,0,17,0,0,0,0,112,3,0,0,0,0,19,0,51,1,0
,,,"0,00","3,37","0,00","1,26","3,37","5,90","0,00","0,00","0,42","0,00","7,17","0,00","0,00","0,00","0,00","47,25","1,26","0,00","0,00","0,00","0,00","8,01","0,00","21,51","0,42","0,00"
Dolný Bar,,300,2,3,0,2,3,3,0,0,0,0,21,0,0,1,0,148,1,0,0,1,0,3,0,112,0,0
,,,"0,66","1,00","0,00","0,66","1,00","1,00","0,00","0,00","0,00","0,00","7,00","0,00","0,00","0,33","0,00","49,33","0,33","0,00","0,00","0,33","0,00","1,00","0,00","37,33","0,00","0,00"
Dolný Štál,,959,2,2,0,0,1,3,0,0,0,1,18,1,2,1,0,369,4,0,0,0,0,5,0,549,0,1
,,,"0,20","0,20","0,00","0,00","0,10","0,31","0,00","0,00","0,00","0,10","1,87","0,10","0,20","0,10","0,00","38,47","0,41","0,00","0,00","0,00","0,00","0,52","0,00","57,24","0,00","0,10"
Dunajská Streda,,10 791,17,152,3,67,234,202,12,1,15,12,658,50,4,14,1,4 568,46,38,0,12,4,266,8,4 381,25,1
,,,"0,15","1,40","0,02","0,62","2,16","1,87","0,11","0,00","0,13","0,11","6,09","0,46","0,03","0,12","0,00","42,33","0,42","0,35","0,00","0,11","0,03","2,46","0,07","40,59","0,23","0,00"
Dunajský Klátov,,296,1,3,0,2,1,4,0,0,1,0,9,0,0,1,0,166,4,2,0,1,0,3,0,97,1,0
,,,"0,33","1,01","0,00","0,67","0,33","1,35","0,00","0,00","0,33","0,00","3,04","0,00","0,00","0,33","0,00","56,08","1,35","0,67","0,00","0,33","0,00","1,01","0,00","32,77","0,33","0,00"
Gabčíkovo,,2 992,4,16,0,10,29,18,1,0,6,0,158,7,0,6,0,1 021,15,5,0,1,4,33,2,1 652,4,0
,,,"0,13","0,53","0,00","0,33","0,96","0,60","0,03","0,00","0,20","0,00","5,28","0,23","0,00","0,20","0,00","34,12","0,50","0,16","0,00","0,03","0,13","1,10","0,06","55,21","0,13","0,00"
Holice,,1 187,0,7,0,1,4,13,1,0,1,0,29,3,0,2,0,427,3,0,0,0,1,9,0,685,0,1
,,,"0,00","0,58","0,00","0,08","0,33","1,09","0,08","0,00","0,08","0,00","2,44","0,25","0,00","0,16","0,00","35,97","0,25","0,00","0,00","0,00","0,08","0,75","0,00","57,70","0,00","0,08"
Horná Potôň,,979,3,9,1,5,14,25,0,0,1,0,66,7,1,3,0,510,5,3,2,3,0,17,0,301,1,2
,,,"0,30","0,91","0,10","0,51","1,43","2,55","0,00","0,00","0,10","0,00","6,74","0,71","0,10","0,30","0,00","52,09","0,51","0,30","0,20","0,30","0,00","1,73","0,00","30,74","0,10","0,20"
Horné Mýto,,475,2,1,0,0,0,0,0,0,0,0,4,0,0,0,0,177,1,0,0,0,0,2,1,286,1,0
,,,"0,42","0,21","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,84","0,00","0,00","0,00","0,00","37,26","0,21","0,00","0,00","0,00","0,00","0,42","0,21","60,21","0,21","0,00"
Horný Bar,,668,0,8,0,6,9,15,2,0,0,1,46,1,1,1,1,328,4,0,0,0,1,12,0,229,2,1
,,,"0,00","1,19","0,00","0,89","1,34","2,24","0,29","0,00","0,00","0,14","6,88","0,14","0,14","0,14","0,14","49,10","0,59","0,00","0,00","0,00","0,14","1,79","0,00","34,28","0,29","0,14"
Hubice,,341,1,5,0,6,7,14,3,0,2,3,36,5,0,0,0,202,7,0,0,0,0,14,0,33,3,0
,,,"0,29","1,46","0,00","1,75","2,05","4,10","0,87","0,00","0,58","0,87","10,55","1,46","0,00","0,00","0,00","59,23","2,05","0,00","0,00","0,00","0,00","4,10","0,00","9,67","0,87","0,00"
Hviezdoslavov,,335,0,22,0,5,33,36,0,0,3,7,78,6,3,5,0,73,8,0,0,2,0,43,0,6,4,1
,,,"0,00","6,56","0,00","1,49","9,85","10,74","0,00","0,00","0,89","2,08","23,28","1,79","0,89","1,49","0,00","21,79","2,38","0,00","0,00","0,59","0,00","12,83","0,00","1,79","1,19","0,29"
Jahodná,,747,3,5,1,0,5,8,0,0,0,0,25,1,0,0,1,378,0,1,0,0,1,1,3,313,1,0
,,,"0,40","0,66","0,13","0,00","0,66","1,07","0,00","0,00","0,00","0,00","3,34","0,13","0,00","0,00","0,13","50,60","0,00","0,13","0,00","0,00","0,13","0,13","0,40","41,90","0,13","0,00"
Janíky,,514,2,10,1,2,10,14,0,0,1,0,30,6,1,3,0,309,4,0,0,0,0,10,0,108,2,1
,,,"0,38","1,94","0,19","0,38","1,94","2,72","0,00","0,00","0,19","0,00","5,83","1,16","0,19","0,58","0,00","60,11","0,77","0,00","0,00","0,00","0,00","1,94","0,00","21,01","0,38","0,19"
Jurová,,304,0,1,0,4,8,1,0,0,0,0,13,0,0,3,0,115,0,0,0,2,0,1,0,153,3,0
,,,"0,00","0,32","0,00","1,31","2,63","0,32","0,00","0,00","0,00","0,00","4,27","0,00","0,00","0,98","0,00","37,82","0,00","0,00","0,00","0,65","0,00","0,32","0,00","50,32","0,98","0,00"
Kľúčovec,,226,3,0,0,0,2,2,0,0,0,1,7,1,0,0,0,59,0,0,0,0,0,0,0,151,0,0
,,,"1,32","0,00","0,00","0,00","0,88","0,88","0,00","0,00","0,00","0,44","3,09","0,44","0,00","0,00","0,00","26,10","0,00","0,00","0,00","0,00","0,00","0,00","0,00","66,81","0,00","0,00"
Kostolné Kračany,,743,0,7,0,0,3,8,0,1,0,0,27,0,0,0,0,429,0,4,0,1,0,5,0,258,0,0
,,,"0,00","0,94","0,00","0,00","0,40","1,07","0,00","0,13","0,00","0,00","3,63","0,00","0,00","0,00","0,00","57,73","0,00","0,53","0,00","0,13","0,00","0,67","0,00","34,72","0,00","0,00"
Kráľovičove Kračany,,519,1,1,0,0,5,10,0,0,1,0,24,2,0,2,0,293,1,0,0,0,0,2,0,172,3,2
,,,"0,19","0,19","0,00","0,00","0,96","1,92","0,00","0,00","0,19","0,00","4,62","0,38","0,00","0,38","0,00","56,45","0,19","0,00","0,00","0,00","0,00","0,38","0,00","33,14","0,57","0,38"
Kútniky,,680,3,7,0,3,15,10,1,0,1,2,29,5,0,1,0,298,5,0,0,0,0,21,0,277,1,1
,,,"0,44","1,02","0,00","0,44","2,20","1,47","0,14","0,00","0,14","0,29","4,26","0,73","0,00","0,14","0,00","43,82","0,73","0,00","0,00","0,00","0,00","3,08","0,00","40,73","0,14","0,14"
Kvetoslavov,,516,0,39,0,7,40,60,0,0,3,5,71,15,1,1,0,153,5,2,0,1,0,72,0,38,3,0
,,,"0,00","7,55","0,00","1,35","7,75","11,62","0,00","0,00","0,58","0,96","13,75","2,90","0,19","0,19","0,00","29,65","0,96","0,38","0,00","0,19","0,00","13,95","0,00","7,36","0,58","0,00"
Kyselica,,96,0,1,0,4,2,6,0,0,0,0,3,0,0,0,0,24,0,0,0,0,0,2,0,54,0,0
,,,"0,00","1,04","0,00","4,16","2,08","6,25","0,00","0,00","0,00","0,00","3,12","0,00","0,00","0,00","0,00","25,00","0,00","0,00","0,00","0,00","0,00","2,08","0,00","56,25","0,00","0,00"
Lehnice,,1 177,6,30,2,5,32,31,3,4,1,1,212,4,4,1,8,537,19,6,1,8,0,26,0,232,4,0
,,,"0,50","2,54","0,16","0,42","2,71","2,63","0,25","0,33","0,08","0,08","18,01","0,33","0,33","0,08","0,67","45,62","1,61","0,50","0,08","0,67","0,00","2,20","0,00","19,71","0,33","0,00"
Lúč na Ostrove,,439,0,3,0,2,5,2,0,0,0,0,8,0,0,0,0,247,1,0,0,0,0,5,1,163,2,0
,,,"0,00","0,68","0,00","0,45","1,13","0,45","0,00","0,00","0,00","0,00","1,82","0,00","0,00","0,00","0,00","56,26","0,22","0,00","0,00","0,00","0,00","1,13","0,22","37,12","0,45","0,00"
Macov,,134,0,11,0,4,10,5,0,0,0,0,26,0,1,2,0,40,1,0,0,0,1,12,0,21,0,0
,,,"0,00","8,20","0,00","2,98","7,46","3,73","0,00","0,00","0,00","0,00","19,40","0,00","0,74","1,49","0,00","29,85","0,74","0,00","0,00","0,00","0,74","8,95","0,00","15,67","0,00","0,00"
Mad,,319,0,0,0,0,3,0,0,0,0,0,4,0,0,1,0,192,3,1,0,0,0,3,0,112,0,0
,,,"0,00","0,00","0,00","0,00","0,94","0,00","0,00","0,00","0,00","0,00","1,25","0,00","0,00","0,31","0,00","60,18","0,94","0,31","0,00","0,00","0,00","0,94","0,00","35,10","0,00","0,00"
Malé Dvorníky,,676,0,1,0,1,7,12,0,0,1,0,14,1,0,4,0,435,3,0,0,0,0,8,0,188,1,0
,,,"0,00","0,14","0,00","0,14","1,03","1,77","0,00","0,00","0,14","0,00","2,07","0,14","0,00","0,59","0,00","64,34","0,44","0,00","0,00","0,00","0,00","1,18","0,00","27,81","0,14","0,00"
Medveďov,,249,0,0,0,0,2,0,0,0,0,0,9,1,0,0,0,109,0,0,0,0,0,3,0,125,0,0
,,,"0,00","0,00","0,00","0,00","0,80","0,00","0,00","0,00","0,00","0,00","3,61","0,40","0,00","0,00","0,00","43,77","0,00","0,00","0,00","0,00","0,00","1,20","0,00","50,20","0,00","0,00"
Mierovo,,266,1,3,0,0,1,6,0,0,0,0,9,1,0,2,0,141,1,1,2,0,0,3,0,95,0,0
,,,"0,37","1,12","0,00","0,00","0,37","2,25","0,00","0,00","0,00","0,00","3,38","0,37","0,00","0,75","0,00","53,00","0,37","0,37","0,75","0,00","0,00","1,12","0,00","35,71","0,00","0,00"
Michal na Ostrove,,434,0,3,1,1,12,4,1,0,0,0,22,3,1,1,0,262,2,0,0,1,0,13,0,106,1,0
,,,"0,00","0,69","0,23","0,23","2,76","0,92","0,23","0,00","0,00","0,00","5,06","0,69","0,23","0,23","0,00","60,36","0,46","0,00","0,00","0,23","0,00","2,99","0,00","24,42","0,23","0,00"
Nový Život,,1 101,3,14,1,4,18,24,0,0,6,4,56,4,0,5,9,595,14,1,0,0,1,20,0,319,3,0
,,,"0,27","1,27","0,09","0,36","1,63","2,17","0,00","0,00","0,54","0,36","5,08","0,36","0,00","0,45","0,81","54,04","1,27","0,09","0,00","0,00","0,09","1,81","0,00","28,97","0,27","0,00"
Ňárad,,393,1,0,0,0,4,4,0,0,0,0,24,1,0,0,0,108,0,0,0,0,0,5,0,246,0,0
,,,"0,25","0,00","0,00","0,00","1,01","1,01","0,00","0,00","0,00","0,00","6,10","0,25","0,00","0,00","0,00","27,48","0,00","0,00","0,00","0,00","0,00","1,27","0,00","62,59","0,00","0,00"
Ohrady,,670,0,1,0,0,4,2,0,0,0,0,15,0,0,1,0,249,1,3,0,0,0,0,0,392,2,0
,,,"0,00","0,14","0,00","0,00","0,59","0,29","0,00","0,00","0,00","0,00","2,23","0,00","0,00","0,14","0,00","37,16","0,14","0,44","0,00","0,00","0,00","0,00","0,00","58,50","0,29","0,00"
Okoč,,1 835,6,1,2,2,14,1,1,0,1,1,39,0,0,0,1,534,3,0,0,0,1,5,0,1 218,3,2
,,,"0,32","0,05","0,10","0,10","0,76","0,05","0,05","0,00","0,05","0,05","2,12","0,00","0,00","0,00","0,05","29,10","0,16","0,00","0,00","0,00","0,05","0,27","0,00","66,37","0,16","0,10"
Oľdza,,217,0,4,0,5,8,18,0,1,0,0,26,0,0,0,0,88,0,0,0,0,0,13,1,53,0,0
,,,"0,00","1,84","0,00","2,30","3,68","8,29","0,00","0,46","0,00","0,00","11,98","0,00","0,00","0,00","0,00","40,55","0,00","0,00","0,00","0,00","0,00","5,99","0,46","24,42","0,00","0,00"
Orechová Potôň,,901,0,3,1,1,6,6,1,0,0,0,31,1,0,3,0,526,6,2,0,0,1,7,1,305,0,0
,,,"0,00","0,33","0,11","0,11","0,66","0,66","0,11","0,00","0,00","0,00","3,44","0,11","0,00","0,33","0,00","58,37","0,66","0,22","0,00","0,00","0,11","0,77","0,11","33,85","0,00","0,00"
Padáň,,419,0,2,0,1,1,1,1,0,0,0,6,0,0,0,0,223,0,0,0,0,1,3,0,180,0,0
,,,"0,00","0,47","0,00","0,23","0,23","0,23","0,23","0,00","0,00","0,00","1,43","0,00","0,00","0,00","0,00","53,22","0,00","0,00","0,00","0,00","0,23","0,71","0,00","42,95","0,00","0,00"
Pataš,,352,0,5,0,3,2,5,0,0,0,0,10,0,1,1,0,153,0,0,0,0,1,2,0,168,0,1
,,,"0,00","1,42","0,00","0,85","0,56","1,42","0,00","0,00","0,00","0,00","2,84","0,00","0,28","0,28","0,00","43,46","0,00","0,00","0,00","0,00","0,28","0,56","0,00","47,72","0,00","0,28"
Potônske Lúky,,151,2,1,0,0,0,2,0,0,0,3,3,0,0,0,0,59,0,4,0,0,0,0,0,77,0,0
,,,"1,32","0,66","0,00","0,00","0,00","1,32","0,00","0,00","0,00","1,98","1,98","0,00","0,00","0,00","0,00","39,07","0,00","2,64","0,00","0,00","0,00","0,00","0,00","50,99","0,00","0,00"
Povoda,,437,1,1,0,1,0,13,0,0,0,0,29,1,0,1,0,210,2,5,0,0,0,9,0,163,1,0
,,,"0,22","0,22","0,00","0,22","0,00","2,97","0,00","0,00","0,00","0,00","6,63","0,22","0,00","0,22","0,00","48,05","0,45","1,14","0,00","0,00","0,00","2,05","0,00","37,29","0,22","0,00"
